MN,HD,HR,HIP,Name,OtherDesignations,ProperName,Bayer,Flamsteed,Constellation,RAJ2000,DecJ2000,pmRA,pmDec,RadVel,Parallax,Vmag,B-V,SpType,IsMultiple,IsVariable,UpdateName
23088,191153,0,99348,B 2883,B 2883,,,,,,,,,,,,,N/A,0.0,0.0,
23089,191235,0,99350,B 469,B 469,,,,,,,,,,,,,N/A,0.0,0.0,
23090,191365,0,99357,TOK 729,TOK 729,,,,,,,,,,,,,N/A,0.0,0.0,
23091,191854,0,99376,ΟΣ 400,ΟΣ 400,,,,,,,,,,,,,N/A,0.0,0.0,
23092,189487,0,99379,HJ 5153,HJ 5153,,,,,,,,,,,,,N/A,0.0,0.0,
23093,191391,0,99385,BEU 21,BEU 21,,,,,,,,,,,,,N/A,0.0,0.0,
23094,191974,0,99388,Σ 2648,Σ 2648,,,,,,,,,,,,,N/A,0.0,0.0,
23095,191434,0,99391,HDS 2873,HDS 2873,,,,,,,,,,,,,N/A,0.0,0.0,
23096,339706,0,99393,AG 400,AG 400,,,,,,,,,,,,,N/A,0.0,0.0,
23097,191704,0,99394,COU 122,COU 122,,,,,,,,,,,,,N/A,0.0,0.0,
23098,191745,0,99402,HDS 2874,HDS 2874,,,,,,,,,,,,,N/A,0.0,0.0,
23099,191189,0,99406,RSS 542,RSS 542,,,,,,,,,,,,,N/A,0.0,0.0,
23100,191812,0,99409,S 738,S 738,,,,,,,,,,,,,N/A,0.0,0.0,
23101,191813,0,99416,ΟΣ 541,ΟΣ 541,,,,,,,,,,,,,N/A,0.0,0.0,
23102,191190,0,99417,I 123,I 123,,,,,,,,,,,,,N/A,0.0,0.0,
23103,191721,0,99421,HDS 2875,HDS 2875,,,,,,,,,,,,,N/A,0.0,0.0,
23104,345957,0,99423,OSO 119,OSO 119,,,,,,,,,,,,,N/A,0.0,0.0,
23105,191407,0,99430,B 987,B 987,,,,,,,,,,,,,N/A,0.0,0.0,
23106,191855,0,99431,HDS 2876,HDS 2876,,,,,,,,,,,,,N/A,0.0,0.0,
23107,346009,0,99434,HDS 2877,HDS 2877,,,,,,,,,,,,,N/A,0.0,0.0,
23108,228155,0,99441,SEI 962,SEI 962,,,,,,,,,,,,,N/A,0.0,0.0,
23109,191409,0,99463,HDS 2878,HDS 2878,,,,,,,,,,,,,N/A,0.0,0.0,
23110,191856,0,99472,HO 587,HO 587,,,,,,,,,,,,,N/A,0.0,0.0,
23111,191622,0,99474,HJ 1484,HJ 1484,,,,,,,,,,,,,N/A,0.0,0.0,
23112,191709,0,99476,S 735,S 735,,,,,,,,,,,,,N/A,0.0,0.0,
23113,191502,0,99478,RSS 543,RSS 543,,,,,,,,,,,,,N/A,0.0,0.0,
23114,191945,0,99487,A 1200,A 1200,,,,,,,,,,,,,N/A,0.0,0.0,
23115,191640,0,99491,ARU 21,ARU 21,,,,,,,,,,,,,N/A,0.0,0.0,
23116,192078,0,99504,A 1418,A 1418,,,,,,,,,,,,,N/A,0.0,0.0,
23117,191750,0,99508,Σ 2636,Σ 2636,,,,,,,,,,,,,N/A,0.0,0.0,
23118,191726,0,99514,H 6 92,H 6 92,,,,,,,,,,,,,N/A,0.0,0.0,
23119,191861,0,99522,Σ 2641,Σ 2641,,,,,,,,,,,,,N/A,0.0,0.0,
23120,339671,0,99523,HDS 2879,HDS 2879,,,,,,,,,,,,,N/A,0.0,0.0,
23121,192239,0,99542,OSO 120,OSO 120,,,,,,,,,,,,,N/A,0.0,0.0,
23122,191841,0,99558,β 1205,β 1205,,,,,,,,,,,,,N/A,0.0,0.0,
23123,192164,0,99562,AG 249,AG 249,,,,,,,,,,,,,N/A,0.0,0.0,
23124,192165,0,99564,Σ 2649,Σ 2649,,,,,,,,,,,,,N/A,0.0,0.0,
23125,192456,0,99573,HDS 2880,HDS 2880,,,,,,,,,,,,,N/A,0.0,0.0,
23126,228286,0,99574,ABT 9004,ABT 9004,,,,,,,,,,,,,N/A,0.0,0.0,
23127,192025,0,99578,AG 402,AG 402,,,,,,,,,,,,,N/A,0.0,0.0,
23128,192144,0,99581,DOO 15,DOO 15,,,,,,,,,,,,,N/A,0.0,0.0,
23129,192225,0,99590,FAL 67,FAL 67,,,,,,,,,,,,,N/A,0.0,0.0,
23130,191902,0,99593,TOK 336,TOK 336,,,,,,,,,,,,,N/A,0.0,0.0,
23131,191559,0,99595,HJ 5174,HJ 5174,,,,,,,,,,,,,N/A,0.0,0.0,
23132,192126,0,99602,CHE 198,CHE 198,,,,,,,,,,,,,N/A,0.0,0.0,
23133,192007,0,99604,Σ 2643,Σ 2643,,,,,,,,,,,,,N/A,0.0,0.0,
23134,191756,0,99605,HDS 2881,HDS 2881,,,,,,,,,,,,,N/A,0.0,0.0,
23135,192494,0,99625,ES 502,ES 502,,,,,,,,,,,,,N/A,0.0,0.0,
23136,192185,0,99644,A 1202,A 1202,,,,,,,,,,,,,N/A,0.0,0.0,
23137,192031,0,99651,KUI 96,KUI 96,,,,,,,,,,,,,N/A,0.0,0.0,
23138,192443,0,99653,BLL 47,BLL 47,,,,,,,,,,,,,N/A,0.0,0.0,
23139,191866,0,99660,B 472,B 472,,,,,,,,,,,,,N/A,0.0,0.0,
23140,192579,0,99676,β 1483,β 1483,,,,,,,,,,,,,N/A,0.0,0.0,
23141,192405,0,99677,HDS 2882,HDS 2882,,,,,,,,,,,,,N/A,0.0,0.0,
23142,192679,0,99680,Σ 2658,Σ 2658,,,,,,,,,,,,,N/A,0.0,0.0,
23143,180710,0,99687,UC 4124,UC 4124,,,,,,,,,,,,,N/A,0.0,0.0,
23144,228446,0,99688,DOO 13,DOO 13,,,,,,,,,,,,,N/A,0.0,0.0,
23145,191308,0,99692,DON 981,DON 981,,,,,,,,,,,,,N/A,0.0,0.0,
23146,191958,0,99694,I 299,I 299,,,,,,,,,,,,,N/A,0.0,0.0,
23147,193485,0,99697,YSC 162,YSC 162,,,,,,,,,,,,,N/A,0.0,0.0,
23148,191799,0,99703,HU 1613,HU 1613,,,,,,,,,,,,,N/A,0.0,0.0,
23149,239355,0,99715,TOK 5,TOK 5,,,,,,,,,,,,,N/A,0.0,0.0,
23150,192424,0,99717,Σ 2655,Σ 2655,,,,,,,,,,,,,N/A,0.0,0.0,
23151,192782,0,99732,A 1422,A 1422,,,,,,,,,,,,,N/A,0.0,0.0,
23152,192557,0,99737,ES 204,ES 204,,,,,,,,,,,,,N/A,0.0,0.0,
23153,192366,0,99740,HDS 2884,HDS 2884,,,,,,,,,,,,,N/A,0.0,0.0,
23154,192327,0,99748,HDS 2885,HDS 2885,,,,,,,,,,,,,N/A,0.0,0.0,
23155,194375,0,99759,Σ 2694,Σ 2694,,,,,,,,,,,,,N/A,0.0,0.0,
23156,192519,0,99767,ΟΣ 402,ΟΣ 402,,,,,,,,,,,,,N/A,0.0,0.0,
23157,192266,0,99773,OCC 407,OCC 407,,,,,,,,,,,,,N/A,0.0,0.0,
23158,192661,0,99777,ENG 72,ENG 72,,,,,,,,,,,,,N/A,0.0,0.0,
23159,192561,0,99788,HDS 2886,HDS 2886,,,,,,,,,,,,,N/A,0.0,0.0,
23160,192071,0,99799,SKF 1164,SKF 1164,,,,,,,,,,,,,N/A,0.0,0.0,
23161,191869,0,99803,RMK 25,RMK 25,,,,,,,,,,,,,N/A,0.0,0.0,
23162,192803,0,99813,A 387,A 387,,,,,,,,,,,,,N/A,0.0,0.0,
23163,192461,0,99816,Σ 2654,Σ 2654,,,,,,,,,,,,,N/A,0.0,0.0,
23164,192967,0,99822,HO 455,HO 455,,,,,,,,,,,,,N/A,0.0,0.0,
23165,192410,0,99823,OCC 993,OCC 993,,,,,,,,,,,,,N/A,0.0,0.0,
23166,192391,0,99837,λ 411,λ 411,,,,,,,,,,,,,N/A,0.0,0.0,
23167,192586,0,99856,HJ 910,HJ 910,,,,,,,,,,,,,N/A,0.0,0.0,
23168,192622,0,99860,Σ 2656,Σ 2656,,,,,,,,,,,,,N/A,0.0,0.0,
23169,192624,0,99867,A 386,A 386,,,,,,,,,,,,,N/A,0.0,0.0,
23170,191972,0,99896,I 411,I 411,,,,,,,,,,,,,N/A,0.0,0.0,
23171,192646,0,99897,HO 589,HO 589,,,,,,,,,,,,,N/A,0.0,0.0,
23172,192837,0,99914,HDS 2888,HDS 2888,,,,,,,,,,,,,N/A,0.0,0.0,
23173,192913,0,99927,HDS 2889,HDS 2889,,,,,,,,,,,,,N/A,0.0,0.0,
23174,192415,0,99935,I 125,I 125,,,,,,,,,,,,,N/A,0.0,0.0,
23175,192809,0,99948,HDS 2890,HDS 2890,,,,,,,,,,,,,N/A,0.0,0.0,
23176,192528,0,99949,B 473,B 473,,,,,,,,,,,,,N/A,0.0,0.0,
23177,191453,0,99959,I 1045,I 1045,,,,,,,,,,,,,N/A,0.0,0.0,
23178,228710,0,99963,OSO 122,OSO 122,,,,,,,,,,,,,N/A,0.0,0.0,
23179,192614,0,99966,STN 64,STN 64,,,,,,,,,,,,,N/A,0.0,0.0,
23180,193010,0,99967,HO 588,HO 588,,,,,,,,,,,,,N/A,0.0,0.0,
23181,192771,0,99971,LDS 4835,LDS 4835,,,,,,,,,,,,,N/A,0.0,0.0,
23182,192255,0,99977,HDS 2892,HDS 2892,,,,,,,,,,,,,N/A,0.0,0.0,
23183,192954,0,99995,CHE 273,CHE 273,,,,,,,,,,,,,N/A,0.0,0.0,
23184,192653,0,100005,RSS 545,RSS 545,,,,,,,,,,,,,N/A,0.0,0.0,
23185,192823,0,100014,HDS 2894,HDS 2894,,,,,,,,,,,,,N/A,0.0,0.0,
23186,192549,0,100023,HDS 2896,HDS 2896,,,,,,,,,,,,,N/A,0.0,0.0,
23187,192634,0,100036,HJ 5184,HJ 5184,,,,,,,,,,,,,N/A,0.0,0.0,
23188,193246,0,100037,HDS 2897,HDS 2897,,,,,,,,,,,,,N/A,0.0,0.0,
23189,192724,0,100045,Δ 230,Δ 230,,,,,,,,,,,,,N/A,0.0,0.0,
23190,192956,0,100065,HDS 2899,HDS 2899,,,,,,,,,,,,,N/A,0.0,0.0,
23191,339862,0,100066,HDS 2898,HDS 2898,,,,,,,,,,,,,N/A,0.0,0.0,
23192,334100,0,100079,A 1205,A 1205,,,,,,,,,,,,,N/A,0.0,0.0,
23193,193161,0,100084,HU 357,HU 357,,,,,,,,,,,,,N/A,0.0,0.0,
23194,228834,0,100085,BKO 822,BKO 822,,,,,,,,,,,,,N/A,0.0,0.0,
23195,193512,0,100087,HDS 2900,HDS 2900,,,,,,,,,,,,,N/A,0.0,0.0,
23196,193371,0,100127,ΟΣ 405,ΟΣ 405,,,,,,,,,,,,,N/A,0.0,0.0,
23197,193037,0,100129,UC 4142,UC 4142,,,,,,,,,,,,,N/A,0.0,0.0,
23198,351972,0,100130,HDS 2901,HDS 2901,,,,,,,,,,,,,N/A,0.0,0.0,
23199,228854,0,100135,SEI 1077,SEI 1077,,,,,,,,,,,,,N/A,0.0,0.0,
23200,193443,0,100146,A 1425,A 1425,,,,,,,,,,,,,N/A,0.0,0.0,
23201,193469,0,100155,HO 125,HO 125,,,,,,,,,,,,,N/A,0.0,0.0,
23202,193102,0,100164,RST 4057,RST 4057,,,,,,,,,,,,,N/A,0.0,0.0,
23203,193514,0,100173,TRN 28,TRN 28,,,,,,,,,,,,,N/A,0.0,0.0,
23204,192779,0,100175,HDS 2904,HDS 2904,,,,,,,,,,,,,N/A,0.0,0.0,
23205,192861,0,100177,RST 1066,RST 1066,,,,,,,,,,,,,N/A,0.0,0.0,
23206,193647,0,100180,HDS 2903,HDS 2903,,,,,,,,,,,,,N/A,0.0,0.0,
23207,193069,0,100182,RST 1067,RST 1067,,,,,,,,,,,,,N/A,0.0,0.0,
23208,191803,0,100187,RSS 546,RSS 546,,,,,,,,,,,,,N/A,0.0,0.0,
23209,193350,0,100192,Σ 2665,Σ 2665,,,,,,,,,,,,,N/A,0.0,0.0,
23210,193389,0,100212,HDS 2905,HDS 2905,,,,,,,,,,,,,N/A,0.0,0.0,
23211,346429,0,100220,COU 220,COU 220,,,,,,,,,,,,,N/A,0.0,0.0,
23212,193392,0,100226,Σ 2664,Σ 2664,,,,,,,,,,,,,N/A,0.0,0.0,
23213,193611,0,100227,A 1426,A 1426,,,,,,,,,,,,,N/A,0.0,0.0,
23214,193700,0,100230,BLL 49,BLL 49,,,,,,,,,,,,,N/A,0.0,0.0,
23215,193275,0,100235,LDS 1468,LDS 1468,,,,,,,,,,,,,N/A,0.0,0.0,
23216,193701,0,100241,ΟΣ 406,ΟΣ 406,,,,,,,,,,,,,N/A,0.0,0.0,
23217,193330,0,100246,Σ 2661,Σ 2661,,,,,,,,,,,,,N/A,0.0,0.0,
23218,193637,0,100258,RAO 519,RAO 519,,,,,,,,,,,,,N/A,0.0,0.0,
23219,193490,0,100262,HDS 2906,HDS 2906,,,,,,,,,,,,,N/A,0.0,0.0,
23220,193243,0,100263,λ 416,λ 416,,,,,,,,,,,,,N/A,0.0,0.0,
23221,193194,0,100266,I 1416,I 1416,,,,,,,,,,,,,N/A,0.0,0.0,
23222,193244,0,100267,GLP 18,GLP 18,,,,,,,,,,,,,N/A,0.0,0.0,
23223,193113,0,100298,I 1415,I 1415,,,,,,,,,,,,,N/A,0.0,0.0,
23224,191631,0,100303,UC 4152,UC 4152,,,,,,,,,,,,,N/A,0.0,0.0,
23225,192949,0,100305,HJ 5185,HJ 5185,,,,,,,,,,,,,N/A,0.0,0.0,
23226,193622,0,100309,YSC 70,YSC 70,,,,,,,,,,,,,N/A,0.0,0.0,
23227,193360,0,100324,λ 414,λ 414,,,,,,,,,,,,,N/A,0.0,0.0,
23228,193493,0,100326,SCJ 25,SCJ 25,,,,,,,,,,,,,N/A,0.0,0.0,
23229,193454,0,100334,OCC 825,OCC 825,,,,,,,,,,,,,N/A,0.0,0.0,
23230,193213,0,100336,λ 415,λ 415,,,,,,,,,,,,,N/A,0.0,0.0,
23231,193581,0,100340,SKF 926,SKF 926,,,,,,,,,,,,,N/A,0.0,0.0,
23232,193455,0,100348,OCC 824,OCC 824,,,,,,,,,,,,,N/A,0.0,0.0,
23233,193926,0,100360,HJ 1505,HJ 1505,,,,,,,,,,,,,N/A,0.0,0.0,
23234,334154,0,100369,β 1259,β 1259,,,,,,,,,,,,,N/A,0.0,0.0,
23235,193857,0,100384,ARY 4,ARY 4,,,,,,,,,,,,,N/A,0.0,0.0,
23236,193946,0,100391,SEI 1103,SEI 1103,,,,,,,,,,,,,N/A,0.0,0.0,
23237,193797,0,100397,COU 327,COU 327,,,,,,,,,,,,,N/A,0.0,0.0,
23238,193231,0,100405,COO 239,COO 239,,,,,,,,,,,,,N/A,0.0,0.0,
23239,193464,0,100417,HDS 2908,HDS 2908,,,,,,,,,,,,,N/A,0.0,0.0,
23240,193819,0,100429,HU 1197,HU 1197,,,,,,,,,,,,,N/A,0.0,0.0,
23241,193986,0,100443,A 1208,A 1208,,,,,,,,,,,,,N/A,0.0,0.0,
23242,193713,0,100445,H N 138,H N 138,,,,,,,,,,,,,N/A,0.0,0.0,
23243,193567,0,100449,I 430,I 430,,,,,,,,,,,,,N/A,0.0,0.0,
23244,355469,0,100451,Σ 2670,Σ 2670,,,,,,,,,,,,,N/A,0.0,0.0,
23245,355469,0,100446,GUI 31,ABH 139/GUI 31,,,,,,,,,,,,,N/A,0.0,0.0,
23246,193569,0,100456,OL 25,OL 25,,,,,,,,,,,,,N/A,0.0,0.0,
23247,193616,0,100460,B 2885,B 2885,,,,,,,,,,,,,N/A,0.0,0.0,
23248,193310,0,100462,φ 276,φ 276,,,,,,,,,,,,,N/A,0.0,0.0,
23249,192845,0,100466,HEI 404,HEI 404,,,,,,,,,,,,,N/A,0.0,0.0,
23250,194033,0,100476,HJ 1504,HJ 1504,,,,,,,,,,,,,N/A,0.0,0.0,
23251,193407,0,100488,HJ 5187,HJ 5187,,,,,,,,,,,,,N/A,0.0,0.0,
23252,193200,0,100494,B 988,B 988,,,,,,,,,,,,,N/A,0.0,0.0,
23253,193894,0,100496,GAU 17,GAU 17,,,,,,,,,,,,,N/A,0.0,0.0,
23254,194354,0,100507,Σ 2681,Σ 2681,,,,,,,,,,,,,N/A,0.0,0.0,
23255,194613,0,100513,Σ 2685,Σ 2685,,,,,,,,,,,,,N/A,0.0,0.0,
23256,194206,0,100518,ΟΣΣ 206,ΟΣΣ 206,,,,,,,,,,,,,N/A,0.0,0.0,
23257,194072,0,100519,HDS 2911,HDS 2911,,,,,,,,,,,,,N/A,0.0,0.0,
23258,193027,0,100525,HDS 2912,HDS 2912,,,,,,,,,,,,,N/A,0.0,0.0,
23259,194260,0,100529,ΟΣΣ 207,ΟΣΣ 207,,,,,,,,,,,,,N/A,0.0,0.0,
23260,194113,0,100536,A 288,A 288,,,,,,,,,,,,,N/A,0.0,0.0,
23261,194557,0,100545,MLR 432,MLR 432,,,,,,,,,,,,,N/A,0.0,0.0,
23262,194039,0,100552,OPI 24,OPI 24,,,,,,,,,,,,,N/A,0.0,0.0,
23263,193848,0,100558,DAW 152,DAW 152,,,,,,,,,,,,,N/A,0.0,0.0,
23264,193883,0,100566,HO 456,HO 456,,,,,,,,,,,,,N/A,0.0,0.0,
23265,193644,0,100569,I 1417,I 1417,,,,,,,,,,,,,N/A,0.0,0.0,
23266,194423,0,100571,HJ 1513,HJ 1513,,,,,,,,,,,,,N/A,0.0,0.0,
23267,194077,0,100572,HDS 2913,HDS 2913,,,,,,,,,,,,,N/A,0.0,0.0,
23268,229230,0,100583,COU 2641,COU 2641,,,,,,,,,,,,,N/A,0.0,0.0,
23269,194523,0,100588,A 1428,A 1428,,,,,,,,,,,,,N/A,0.0,0.0,
23270,194575,0,100592,HDS 2914,HDS 2914,,,,,,,,,,,,,N/A,0.0,0.0,
23271,194358,0,100616,β 443,β 443,,,,,,,,,,,,,N/A,0.0,0.0,
23272,334260,0,100620,HDS 2916,HDS 2916,,,,,,,,,,,,,N/A,0.0,0.0,
23273,194121,0,100623,OCC 476,OCC 476,,,,,,,,,,,,,N/A,0.0,0.0,
23274,193903,0,100626,HDS 2917,HDS 2917,,,,,,,,,,,,,N/A,0.0,0.0,
23275,194318,0,100638,Σ 2679,Σ 2679,,,,,,,,,,,,,N/A,0.0,0.0,
23276,194261,0,100639,HU 1198,HU 1198,,,,,,,,,,,,,N/A,0.0,0.0,
23277,340062,0,100641,HDS 2918,HDS 2918,,,,,,,,,,,,,N/A,0.0,0.0,
23278,194360,0,100643,COU 125,COU 125,,,,,,,,,,,,,N/A,0.0,0.0,
23279,194614,0,100657,ES 2694,ES 2694,,,,,,,,,,,,,N/A,0.0,0.0,
23280,194719,0,100667,MLR 588,MLR 588,,,,,,,,,,,,,N/A,0.0,0.0,
23281,194233,0,100680,RST 4062,RST 4062,,,,,,,,,,,,,N/A,0.0,0.0,
23282,340279,0,100682,OSO 125,OSO 125,,,,,,,,,,,,,N/A,0.0,0.0,
23283,194169,0,100685,HDS 2919,HDS 2919,,,,,,,,,,,,,N/A,0.0,0.0,
23284,194451,0,100686,COU 521,COU 521,,,,,,,,,,,,,N/A,0.0,0.0,
23285,194382,0,100690,Σ 2680,Σ 2680,,,,,,,,,,,,,N/A,0.0,0.0,
23286,194558,0,100691,HO 278,HO 278,,,,,,,,,,,,,N/A,0.0,0.0,
23287,193940,0,100695,HDS 2920,HDS 2920,,,,,,,,,,,,,N/A,0.0,0.0,
23288,194265,0,100698,A 2998,A 2998,,,,,,,,,,,,,N/A,0.0,0.0,
23289,193808,0,100699,φ 277,φ 277,,,,,,,,,,,,,N/A,0.0,0.0,
23290,194932,0,100705,MLR 503,MLR 503,,,,,,,,,,,,,N/A,0.0,0.0,
23291,194525,0,100708,HDS 2921,HDS 2921,,,,,,,,,,,,,N/A,0.0,0.0,
23292,194388,0,100712,UC 4173,UC 4173,,,,,,,,,,,,,N/A,0.0,0.0,
23293,194933,0,100727,MLR 433,MLR 433,,,,,,,,,,,,,N/A,0.0,0.0,
23294,194883,0,100744,HJ 1516,HJ 1516,,,,,,,,,,,,,N/A,0.0,0.0,
23295,194595,0,100750,β 1488,β 1488,,,,,,,,,,,,,N/A,0.0,0.0,
23296,194907,0,100755,A 1429,A 1429,,,,,,,,,,,,,N/A,0.0,0.0,
23297,195013,0,100759,A 731,A 731,,,,,,,,,,,,,N/A,0.0,0.0,
23298,194738,0,100777,HDS 2922,HDS 2922,,,,,,,,,,,,,N/A,0.0,0.0,
23299,346637,0,100782,BRT 2475,BRT 2475,,,,,,,,,,,,,N/A,0.0,0.0,
23300,194250,0,100810,UC 4184,UC 4184,,,,,,,,,,,,,N/A,0.0,0.0,
23301,195014,0,100824,HDS 2923,HDS 2923,,,,,,,,,,,,,N/A,0.0,0.0,
23302,194251,0,100825,I 1419,I 1419,,,,,,,,,,,,,N/A,0.0,0.0,
23303,194632,0,100831,J 155,J 155,,,,,,,,,,,,,N/A,0.0,0.0,
23304,194327,0,100836,I 1420,I 1420,,,,,,,,,,,,,N/A,0.0,0.0,
23305,194805,0,100839,A 393,A 393,,,,,,,,,,,,,N/A,0.0,0.0,
23306,194549,0,100847,HU 586,HU 586,,,,,,,,,,,,,N/A,0.0,0.0,
23307,194581,0,100855,OCC 23,OCC 23,,,,,,,,,,,,,N/A,0.0,0.0,
23308,194565,0,100864,B 483,B 483,,,,,,,,,,,,,N/A,0.0,0.0,
23309,194477,0,100874,RST 2140,RST 2140,,,,,,,,,,,,,N/A,0.0,0.0,
23310,195527,0,100884,HDS 2925,HDS 2925,,,,,,,,,,,,,N/A,0.0,0.0,
23311,194418,0,100901,I 663,I 663,,,,,,,,,,,,,N/A,0.0,0.0,
23312,340293,0,100902,AG 405,AG 405,,,,,,,,,,,,,N/A,0.0,0.0,
23313,195100,0,100910,HDS 2927,HDS 2927,,,,,,,,,,,,,N/A,0.0,0.0,
23314,195089,0,100912,HDS 2928,HDS 2928,,,,,,,,,,,,,N/A,0.0,0.0,
23315,332293,0,100914,HDS 2929,HDS 2929,,,,,,,,,,,,,N/A,0.0,0.0,
23316,194529,0,100915,RSS 547,RSS 547,,,,,,,,,,,,,N/A,0.0,0.0,
23317,194677,0,100939,OL 26,OL 26,,,,,,,,,,,,,N/A,0.0,0.0,
23318,194570,0,100941,RSS 36,RSS 36,,,,,,,,,,,,,N/A,0.0,0.0,
23319,194844,0,100943,HJ 916,HJ 916,,,,,,,,,,,,,N/A,0.0,0.0,
23320,195102,0,100949,COU 1956,COU 1956,,,,,,,,,,,,,N/A,0.0,0.0,
23321,195019,0,100970,HO 131,HO 131,,,,,,,,,,,,,N/A,0.0,0.0,
23322,194810,0,100985,CHR 98,CHR 98,,,,,,,,,,,,,N/A,0.0,0.0,
23323,194642,0,100994,RSS 548,RSS 548,,,,,,,,,,,,,N/A,0.0,0.0,
23324,194976,0,100998,TOK 700,TOK 700,,,,,,,,,,,,,N/A,0.0,0.0,
23325,194848,0,101013,RSS 549,RSS 549,,,,,,,,,,,,,N/A,0.0,0.0,
23326,194555,0,101026,B 484,B 484,,,,,,,,,,,,,N/A,0.0,0.0,
23327,194419,0,101031,HJ 5197,HJ 5197,,,,,,,,,,,,,N/A,0.0,0.0,
23328,194960,0,101040,DOB 13,DOB 13,,,,,,,,,,,,,N/A,0.0,0.0,
23329,195090,0,101046,A 610,A 610,,,,,,,,,,,,,N/A,0.0,0.0,
23330,194679,0,101048,I 664,I 664,,,,,,,,,,,,,N/A,0.0,0.0,
23331,334456,0,101050,AG 406,AG 406,,,,,,,,,,,,,N/A,0.0,0.0,
23332,194701,0,101053,I 1421,I 1421,,,,,,,,,,,,,N/A,0.0,0.0,
23333,195323,0,101062,WEI 35,WEI 35,,,,,,,,,,,,,N/A,0.0,0.0,
23334,194627,0,101091,TSN 11,TSN 11,,,,,,,,,,,,,N/A,0.0,0.0,
23335,195393,0,101092,MLB 775,MLB 775,,,,,,,,,,,,,N/A,0.0,0.0,
23336,195406,0,101109,Σ 2691,Σ 2691,,,,,,,,,,,,,N/A,0.0,0.0,
23337,195063,0,101122,HDS 2930,HDS 2930,,,,,,,,,,,,,N/A,0.0,0.0,
23338,193698,0,101129,HDS 2931,HDS 2931,,,,,,,,,,,,,N/A,0.0,0.0,
23339,194441,0,101159,HJ 5194,HJ 5194,,,,,,,,,,,,,N/A,0.0,0.0,
23340,195397,0,101181,HDS 2932,HDS 2932,,,,,,,,,,,,,N/A,0.0,0.0,
23341,195787,0,101184,LDS 1473,LDS 1473,,,,,,,,,,,,,N/A,0.0,0.0,
23342,195891,0,101218,HDS 2933,HDS 2933,,,,,,,,,,,,,N/A,0.0,0.0,
23343,195481,0,101223,A 1675,A 1675,,,,,,,,,,,,,N/A,0.0,0.0,
23344,235264,0,101231,A 1678,A 1678,,,,,,,,,,,,,N/A,0.0,0.0,
23345,195872,0,101234,RAO 22,RAO 22,,,,,,,,,,,,,N/A,0.0,0.0,
23346,195434,0,101236,AG 257,AG 257,,,,,,,,,,,,,N/A,0.0,0.0,
23347,195915,0,101239,A 737,A 737,,,,,,,,,,,,,N/A,0.0,0.0,
23348,239436,0,101256,HJ 1540,HJ 1540,,,,,,,,,,,,,N/A,0.0,0.0,
23349,195690,0,101268,TOK 338,TOK 338,,,,,,,,,,,,,N/A,0.0,0.0,
23350,196069,0,101273,β 671,β 671,,,,,,,,,,,,,N/A,0.0,0.0,
23351,195302,0,101274,HJ 5205,HJ 5205,,,,,,,,,,,,,N/A,0.0,0.0,
23352,195303,0,101281,RSS 551,RSS 551,,,,,,,,,,,,,N/A,0.0,0.0,
23353,195853,0,101284,β 1136,β 1136,,,,,,,,,,,,,N/A,0.0,0.0,
23354,195385,0,101288,RST 2143,RST 2143,,,,,,,,,,,,,N/A,0.0,0.0,
23355,194148,0,101291,HJ 5186,HJ 5186,,,,,,,,,,,,,N/A,0.0,0.0,
23356,195511,0,101299,A 734,A 734,,,,,,,,,,,,,N/A,0.0,0.0,
23357,195693,7849,101300,Σ 2695,Σ 2695,,,,,,,,,,,,,N/A,0.0,0.0,
23358,195631,0,101305,HJL 282,HJL 282,,,,,,,,,,,,,N/A,0.0,0.0,
23359,195535,0,101308,A 170,A 170,,,,,,,,,,,,,N/A,0.0,0.0,
23360,195651,0,101315,A 1677,A 1677,,,,,,,,,,,,,N/A,0.0,0.0,
23361,195453,0,101324,HJ 2973,HJ 2973,,,,,,,,,,,,,N/A,0.0,0.0,
23362,195469,0,101329,OCC 674,OCC 674,,,,,,,,,,,,,N/A,0.0,0.0,
23363,195790,0,101353,FOX 93,FOX 93,,,,,,,,,,,,,N/A,0.0,0.0,
23364,195536,0,101357,λ 512,λ 512,,,,,,,,,,,,,N/A,0.0,0.0,
23365,195486,0,101368,HJ 5206,HJ 5206,,,,,,,,,,,,,N/A,0.0,0.0,
23366,195622,0,101378,HO 133,HO 133,,,,,,,,,,,,,N/A,0.0,0.0,
23367,195987,0,101382,BLA 8,BLA 8,,,,,,,,,,,,,N/A,0.0,0.0,
23368,196018,0,101393,KRV 41,KRV 41,,,,,,,,,,,,,N/A,0.0,0.0,
23369,194972,0,101397,HJ 5200,HJ 5200,,,,,,,,,,,,,N/A,0.0,0.0,
23370,195145,0,101399,FAL 68,FAL 68,,,,,,,,,,,,,N/A,0.0,0.0,
23371,196343,0,101420,MLB 220,MLB 220,,,,,,,,,,,,,N/A,0.0,0.0,
23372,195919,0,101428,HDS 2935,HDS 2935,,,,,,,,,,,,,N/A,0.0,0.0,
23373,195389,0,101429,HU 1532,HU 1532,,,,,,,,,,,,,N/A,0.0,0.0,
23374,195778,0,101435,HDS 2936,HDS 2936,,,,,,,,,,,,,N/A,0.0,0.0,
23375,195767,0,101436,HJ 1529,HJ 1529,,,,,,,,,,,,,N/A,0.0,0.0,
23376,195678,0,101437,HDS 2937,HDS 2937,,,,,,,,,,,,,N/A,0.0,0.0,
