MN,HD,HR,HIP,Name,OtherDesignations,ProperName,Bayer,Flamsteed,Constellation,RAJ2000,DecJ2000,pmRA,pmDec,RadVel,Parallax,Vmag,B-V,SpType,IsMultiple,IsVariable,UpdateName
4545,200817,8078,0,HD 200817,HD 200817/HR 8078,,,,,315.9483333333333,53.28611111111111,40.0,37.0,-16.0,,5.9,0.99,K0III,0.0,0.0,
4546,207964,8352,108195,SHY 348,HD 207964/HDO 296/HR 8352/SHY 348,,,,,328.79791666666665,-61.88638888888889,50.0,-84.0,1.0,19.0,5.9,0.39,F1III,0.0,0.0,
4547,214995,8642,0,HD 214995,HD 214995/HR 8642,,,,,340.4891666666667,14.516388888888889,92.0,-21.0,-26.0,-10.0,5.9,1.11,gK0,0.0,0.0,
4548,215943,8678,0,HD 215943,HD 215943/HR 8678,,,,,342.04541666666665,37.41666666666666,-55.0,-58.0,-25.0,,5.9,1.03,gG8,0.0,1.0,
4549,217157,8736,0,HD 217157,HD 217157/HR 8736,,,,,342.7591666666667,85.3736111111111,3.0,107.0,-30.0,,5.9,1.32,K5,0.0,0.0,
4550,223460,9024,0,HD 223460,HD 223460/HR 9024,,,,,357.4208333333333,36.42527777777777,1.0,-48.0,1.0,,5.9,0.79,G1III,0.0,1.0,
4551,3807,174,3193,HJ 323,HD 3807/HJ 323/HR 174,,,,,10.176666666666666,-4.351944444444444,-13.0,-13.0,35.0,,5.91,1.1,K0III,0.0,0.0,
4552,8556,404,6564,β 1163,HD 8556/HR 404/β 1163,,,,,21.08583333333333,-6.914722222222222,42.0,3.0,32.0,23.0,5.91,0.41,F3V,0.0,0.0,
4553,11037,527,0,HD 11037,HD 11037/HR 527,,,,,27.10833333333333,3.685555555555556,-6.0,17.0,3.0,,5.91,0.97,G9III,0.0,0.0,
4554,13940,659,0,HD 13940,HD 13940/HR 659,,,,,33.63333333333333,-41.16666666666666,-13.0,-28.0,14.0,,5.91,0.97,G8III,0.0,0.0,
4555,18191,867,13654,ρ2 Ari,45 Ari/45Rho2Ari/HD 18191/HR 867/ρ2 Ari,,ρ2 Ari,45 Ari,Ari,43.95208333333333,18.331666666666667,-8.0,-17.0,46.0,14.0,5.91,1.47,M6-III:,0.0,1.0,
4556,20606,993,0,HD 20606,HD 20606/HR 993,,,,,49.51166666666667,-28.79694444444445,185.0,-15.0,42.0,,5.91,0.33,F3V+A8-9,0.0,0.0,
4557,23526,1159,0,HD 23526,HD 23526/HR 1159,,,,,56.53958333333333,6.803055555555555,19.0,-71.0,-26.0,,5.91,0.99,G9III,0.0,0.0,
4558,23887,1182,0,HD 23887,HD 23887/HR 1182,,,,,57.162083333333335,0.2277777777777777,63.0,-6.0,66.0,,5.91,1.23,K3III,0.0,0.0,
4559,27639,1370,20417,β 87,HD 27639/HR 1370/β 87,,,,,65.59499999999998,20.82138888888889,1.0,1.0,-9.0,15.0,5.91,1.66,"M0IIIab+A,F",0.0,0.0,
4560,33833,1697,0,HD 33833,HD 33833/HR 1697,,,,,78.20083333333334,-6.057222222222222,27.0,-32.0,23.0,,5.91,0.96,G7III,0.0,0.0,
4561,43396,2242,0,HD 43396,HD 43396/HR 2242,,,,,93.785,-20.272222222222226,5.0,30.0,52.0,,5.91,1.32,K0,0.0,0.0,
4562,43112,2222,29678,KUI 25,HD 43112/HR 2222/KUI 25,,,,,93.78541666666666,13.851111111111113,23.0,6.0,36.0,,5.91,-0.23,B1V,0.0,1.0,
4563,53686,2665,0,HD 53686,HD 53686/HR 2665,,,,,106.84291666666668,34.00944444444445,-28.0,-25.0,14.0,,5.91,1.51,gK4,0.0,0.0,
4564,57006,2779,0,HD 57006,HD 57006/HR 2779,,,,,109.94833333333332,7.142777777777778,60.0,-63.0,22.0,,5.91,0.53,F8V,0.0,0.0,
4565,60803,2918,0,HD 60803,HD 60803/HR 2918,,,,,114.14458333333332,5.861666666666666,-111.0,11.0,4.0,,5.91,0.6,G0V,0.0,0.0,
4566,64225,3071,0,HD 64225,HD 64225/HR 3071,,,,,117.59958333333331,-50.50972222222222,-60.0,-49.0,-23.0,,5.91,1.09,K2III,0.0,0.0,
4567,73171,3408,0,HD 73171,HD 73171/HR 3408,,,,,129.82333333333335,52.711666666666666,-29.0,-28.0,27.0,,5.91,1.17,gK1,0.0,0.0,
4568,76161,3539,0,HD 76161,HD 76161/HR 3539,,,,,133.16083333333333,-48.35916666666667,-9.0,-6.0,3.0,,5.91,-0.15,B3Vn,0.0,0.0,
4569,82406,3783,0,HD 82406,HD 82406/HR 3783,,,,,142.1275,-66.70194444444445,-33.0,47.0,29.0,,5.91,0.01,A0V,0.0,0.0,
4570,82747,3810,0,HD 82747,HD 82747/HR 3810,,,,,143.35916666666668,-22.86388888888889,-49.0,60.0,15.0,,5.91,0.02,A0Vn,0.0,0.0,
4571,88195,3989,49812,17 Sex,17 Sex/CHR 177/HD 88195/HR 3989,,,17 Sex,Sex,152.53125,-8.408333333333333,-26.0,-1.0,16.0,,5.91,0.02,A1V,0.0,0.0,
4572,91437,4139,0,HD 91437,HD 91437/HR 4139,,,,,158.14,-44.61888888888889,-11.0,-32.0,-10.0,,5.91,0.92,G6-8III,0.0,0.0,
4573,92287,4173,0,HD 92287,HD 92287/HR 4173,,,,,159.51041666666666,-57.256388888888885,-28.0,2.0,-9.0,,5.91,-0.14,B3IV,0.0,0.0,
4574,93943,4239,52922,R 161,HD 93943/HR 4239/R 161,,,,,162.35041666666666,-59.32361111111111,-43.0,1.0,4.0,10.0,5.91,0.0,B9.5IV-V,0.0,0.0,
4575,94672,4265,53423,55 Leo,55 Leo/HD 94672/HR 4265/β 1076,,,55 Leo,Leo,163.92666666666668,0.7369444444444444,106.0,0.0,-2.0,14.0,5.91,0.42,F2/3III/V,0.0,0.0,
4576,94985,4274,0,HD 94985,HD 94985/HR 4274,,,,,164.2829166666667,-50.765,-31.0,13.0,16.0,,5.91,0.18,A4V,0.0,1.0,
4577,98366,4381,55249,76 Leo,76 Leo/HD 98366/HR 4381,,,76 Leo,Leo,169.72916666666669,1.6505555555555556,-38.0,-55.0,5.0,,5.91,1.04,gK0,0.0,0.0,
4578,103516,4563,0,HD 103516,HD 103516/HR 4563,,,,,178.74916666666667,-63.278888888888886,-26.0,11.0,-28.0,,5.91,0.19,A3Ib,0.0,0.0,
4579,114326,4962,0,HD 114326,HD 114326/HR 4962,,,,,197.44916666666668,16.84861111111111,-69.0,-12.0,-17.0,,5.91,1.45,K5III,0.0,0.0,
4580,114447,4971,64246,Σ I 24,17 CVn/HD 114447/HR 4971/Σ I 24,,Σ I 24,17 CVn,CVn,197.5133333333333,38.49888888888889,-70.0,44.0,0.0,,5.91,0.29,A9III-IV,0.0,0.0,
4581,114371,4966,64390,HDO 222,HD 114371/HDO 222/HR 4966,,,,,197.965,-69.94194444444445,36.0,6.0,7.0,,5.91,0.42,F3IV-V,0.0,0.0,
4582,118054,5106,66247,y Vir,HD 118054/HR 5106/y Vir/β 932,,,,,203.66875,-13.214444444444444,-44.0,-10.0,-20.0,7.0,5.91,0.02,A2pSrEu:Cr:,0.0,1.0,
4583,120084,5184,0,HD 120084,HD 120084/HR 5184,,,,,205.66375,78.06444444444445,-62.0,49.0,-7.0,34.0,5.91,1.01,gG7,0.0,0.0,
4584,119938,5175,0,HD 119938,HD 119938/HR 5175,,,,,206.865,-50.24944444444444,58.0,13.0,16.0,,5.91,0.29,A3mA5F0,0.0,0.0,
4585,121607,5244,68092,92 Vir,92 Vir/HD 121607/HR 5244,,,92 Vir,Vir,209.11625,1.0505555555555557,-26.0,14.0,-23.0,,5.91,0.2,A8V,0.0,0.0,
4586,121853,5251,0,HD 121853,HD 121853/HR 5251,,,,,209.82208333333327,-50.37,11.0,-34.0,-5.0,,5.91,0.96,G8-K0III,0.0,0.0,
