HD,HR,HIP,Name,OtherDesignations,ProperName,Bayer,Flamsteed,Constellation,RAJ2000,DecJ2000,Vmag,IsMultiple,UpdateName
78293,3622,44565,DAM 1531,DAM 1531/HJ 4178,,,,,,,,0.0,
78383,0,44698,B 2201,B 2201/SIN 42,,,,,,,,0.0,
78175,3617,44768,HO 644,HO 644/Σ 1311,,,,,,,,0.0,
78391,0,44804,TOK 64,TOK 64/Σ 1316,,,,,,,,0.0,
78541,3628,44824,κ Pyx,I 491/κ Pyx,,κ Pyx,,Pyx,,,,0.0,
78643,0,44874,RST 2610,RST 2610/TOK 357,,,,,,,,0.0,
78556,3630,44883,19 Hya,19 Hya/KUI 38,,,19 Hya,Hya,,,,0.0,
78418,3626,44892,75 Cnc,75 Cnc/ΟΣ 567,,,75 Cnc,Cnc,,,,0.0,
78451,0,44894,FYM 227,FYM 227/HDS 1328,,,,,,,,0.0,
78479,0,44918,78 Cnc,78 Cnc/ONL 1,,,78 Cnc,Cnc,,,,0.0,
78732,3641,44961,20 Hya,20 Hya/BRT 426,,,20 Hya,Hya,,,,0.0,
78922,3644,45001,ε Pyx,H N 96/ε Pyx,,ε Pyx,,Pyx,,,,0.0,
78715,3640,45033,79 Cnc,79 Cnc/WRH 17,,,79 Cnc,Cnc,,,,0.0,
79606,0,45140,HDS 1333,DAM 1560/HDS 1333,,,,,,,,0.0,
79009,0,45153,80 Cnc,80 Cnc/ΟΣ 568,,,80 Cnc,Cnc,,,,0.0,
79446,0,45165,HJ 4189,DAW 9007/HJ 4189,,,,,,,,0.0,
79193,3655,45184,21 Hya,21 Hya/GAA 7,,,21 Hya,Hya,,,,0.0,
78899,0,45187,GRF 29,GRF 29/MET 54,,,,,,,,0.0,
79416,3661,45189,HJ 4188,HJ 4188/φ 317,,,,,,,,0.0,
79699,0,45214,HDO 207,CHR 144/HDO 207,,,,,,,,0.0,
79158,3652,45290,36 Lyn,36 Lyn/BAG 45,,,36 Lyn,Lyn,,,,0.0,
79735,3674,45344,z Vel,HJ 4191/z Vel,,,,,,,,0.0,
79807,3677,45386,k1 Vel,HDS 1337/k1 Vel,,,,,,,,0.0,
79392,0,45389,TOK 525,DAM 1575/TOK 525,,,,,,,,0.0,
79498,0,45406,β pm 127,ΟΣ 570/β pm 127,,β pm 127,,,,,,0.0,
79452,3664,45412,β pm 126,19 UMa/β pm 126,,β pm 126,19 UMa,UMa,,,,0.0,
0,0,45420,SKF 1841,HJ 124/SKF 1841,,,,,,,,0.0,
80092,0,45434,SRW 4,FAL 28/SRW 4,,,,,,,,0.0,
79940,3684,45448,k Vel,k Vel/λ 111,,,,,,,,0.0,
79910,3681,45527,23 Hya,23 Hya/KUI 40,,,23 Hya,Hya,,,,0.0,
80671,3712,45571,φ 363,I 358/φ 363,,,,,,,,0.0,
80951,3720,45581,I 12,HJ 4206/I 12,,,,,,,,0.0,
80766,0,45582,I 9011,CPO 43/I 9011,,,,,,,,0.0,
79969,0,45617,Σ 3121,ABT 6/Σ 3121,,,,,,,,0.0,
80081,3690,45688,38 Lyn,38 Lyn/CHR 173/DRS 44/Σ 1334,,,38 Lyn,Lyn,,,,0.0,
81485,0,45734,HJ 4214,HJ 4214/KOH 83,,,,,,,,0.0,
80499,3706,45751,26 Hya,26 Hya/B 2529,,,26 Hya,Hya,,,,0.0,
80777,0,45796,RST 4907,DAM 1599/RST 4907,,,,,,,,0.0,
80290,3697,45836,37 Ly,37 Ly/ARN 71/ΟΣ 199,,,37 Ly,,,,,0.0,
80633,0,45838,TOK 527,BGH 4/TOK 527,,,,,,,,0.0,
81221,0,45952,SHY 541,I 1107/SHY 541,,,,,,,,0.0,
80608,0,45974,39 Lyn,39 Lyn/Σ 1340,,,39 Lyn,Lyn,,,,0.0,
81009,3724,45999,RST 5568,A 1342/RST 5568,,,,,,,,0.0,
82114,0,46046,HJ 4217,HJ 4217/KPP 2878,,,,,,,,0.0,
81212,0,46134,Σ 1348,LDS 3888/Σ 1348,,,,,,,,0.0,
81162,0,46153,HDS 1351,HDS 1351/HJ 813,,,,,,,,0.0,
81209,0,46195,CTT 23,CTT 23/ΟΣ 202/β 1423,,,,,,,,0.0,
81104,0,46239,21 UMa,21 UMa/Σ 1346,,,21 UMa,UMa,,,,0.0,
81728,3744,46365,29 Hya,29 Hya/A 1588/β 590,,,29 Hya,Hya,,,,0.0,
81987,0,46402,HJ 4212,HDS 1357/HJ 4212,,,,,,,,0.0,
81902,0,46443,Σ 1357,FYM 167/Σ 1357,,,,,,,,0.0,
81873,3755,46457,3 Leo,3 Leo/H 4 47,,,3 Leo,Leo,,,,0.0,
82109,0,46465,λ 112,Δ 76/λ 112,,,,,,,,0.0,
82207,0,46523,HDS 1360,HDS 1360/Δ 77,,,,,,,,0.0,
82238,0,46572,HDS 1364,HDS 1364/TOK 440,,,,,,,,0.0,
82434,3786,46651,ψ Vel,COP 1/ψ Vel,,ψ Vel,,Vel,,,,0.0,
82087,3764,46652,7 LMi,7 LMi/HJ 1166,,,7 LMi,LMi,,,,0.0,
82384,3781,46657,ζ1 Ant,HD 82383/HD 82384/HIP 46657/HR 3780/HR 3781/SAO 200444/SAO 200445/Δ 78/ζ1 Ant/ζ1 Ant A/ζ1 Ant B,,ζ1 Ant,,Ant,,,,1.0,
82381,3779,46774,6 Leo,6 Leo/SHJ 107,,,6 Leo,Leo,,,,0.0,
82372,0,46781,Σ 1364,HJ 466/Σ 1364,,,,,,,,0.0,
82443,0,46843,LDS 3903,LAF 38/LDS 3903/MET 99,,,,,,,,0.0,
83359,0,47017,RSS 208,RSS 208/SHY 546/SHY 550,,,,,,,,0.0,
