;MN;HD;HR;HIP;Gl;Name;OtherDesignations;ProperName;Bayer;Flamsteed;Constellation;RAJ2000;DecJ2000;pmRA;pmDec;RadVel;Distance;Vmag;Vmag_min;Vmag_max;B-V;SpType;Luminosity;XJ2000;YJ2000;ZJ2000;VXJ2000;VYJ2000;VZJ2000;Primary;MultipleID;IsMultiple;IsVariable
5344;5345;201092;8086;104217;Gl 820B;61 Cyg;61 Cyg/Gl 820B/HD 201092/HIP 104217/HR 8086/HYG 103882/MN 5345;;;61 Cyg;Cyg;21,115163;38,742055;4107,4;3143,72;-64,3;3,498;6,05;;;1,309;K7V;0,0405135220229263;1,986273;-1,869789;2,188742;4,4e-07;0,00010874;-1,387e-05;103879;Gl 820;1;0
8;9;61421;2943;37279;Gl 280A;Procyon;10 CMi/10Alp CMi/Gl 280A/HD 61421/HIP 37279/HR 2943/HYG 37173/MN 9/Procyon/α CMi;Procyon;α CMi;10 CMi;CMi;7,655033;5,224993;-716,57;-1034,58;-4,0;3,5142;0,4;;;0,432;F5IV-V;7,4404636619191935;-1,469312;3,17617;0,320024;-1,792e-05;2,89e-06;1,212e-05;37173;Gl 280;1;0
115760;115761;0;0;0;Gl 15B;Gl 15B;Gl 15B/HYG 117976/MN 115761;;;;And;0,30516;44,023502;2880,25;415,05;11,3;3,568;11,06;;;1,79;M6 Ve;0,000417637992951;2,557764;0,20548;2,479994;1,319e-05;4,993e-05;-6,3e-07;1472;Gl  15;1;0
80932;80933;173739;0;91768;Gl 725A;Struve 2398 A;Gl 725A/HD 173739/HIP 91768/HYG 91483/MN 80933/Struve 2398 A;Struve 2398 A;;;Dra;18,713179;59,630396;-1326,88;1802,12;-0,8;3,5691;8,94;9,149;8,809;1,504;K5;0,0029457779023394;0,334856;-1,773105;3,079349;1,506e-05;2,258e-05;-2,763e-05;91484;Gl 725;1;1
44532;44533;1326;0;1475;Gl 15A;Groombridge 34;Gl 15A/Groombridge 34/HD 1326/HIP 1475/HYG 1472/MN 44533;Groombridge 34;;;And;0,306174;44,022954;2888,92;410,58;12,0;3,5873;8,09;8,125;8,065;1,56;M1V;0,0065102849843486;2,571275;0,20667;2,493057;1,366e-05;5,039e-05;-1,7e-07;1472;Gl  15;1;1
1131;1132;209100;8387;108870;Gl 845;ε Ind;Eps Ind/Gl 845/HD 209100/HIP 108870/HR 8387/HYG 108525/MN 1132/ε Ind;;ε Ind;;Ind;22,055486;-56,785977;3959,97;-2538,84;-40,4;3,6224;4,69;;;1,056;K5V;0,1520547529732495;1,732589;-0,966715;-3,030307;1,014e-05;8,993e-05;-1,843e-05;108526;;0;0
119392;119393;0;0;0;GJ 1111;GJ 1111;GJ 1111/HYG 118536/MN 119393;;;;Cnc;8,497244;26,778532;-1141,11;-601,64;-5,0;3,6258;14,81;;;2,06;M6,5;1,36395486751e-05;-1,968452;2,569351;1,633464;-1,174e-05;1,236e-05;1,58e-05;118541;;0;0
283;284;10700;509;8102;Gl 71;τ Cet;52 Cet/52Tau Cet/Gl 71/HD 10700/HIP 8102/HR 509/HYG 8087/MN 284/τ Cet;;τ Cet;52 Cet;Cet;1,734479;-15,93748;-1721,82;854,07;-17,0;3,6502;3,49;;;0,727;G8V;0,4664445252037795;3,154083;1,539508;-1,00226;1,931e-05;-3,289e-05;2,07e-06;8087;;0;0
118051;118052;0;0;5643;Gl 54,1;HIP 5643;Gl 54,1/HIP 5643/HYG 5632/MN 118052;;;;Cet;1,208502;-16,998967;1210,09;646,95;28,0;3,6899;12,1;12,201;12,001;1,85;M5,5Ve;0,0001713957307508;3,353772;1,097975;-1,078832;2,69e-06;3,014e-05;2,251e-05;5632;;0;1
117682;117683;0;0;82724;;HIP 82724;HIP 82724/HYG 82471/MN 117683;;;;Ara;16,908863;-62,399734;294,47;205,48;0,0;3,6964;11,85;;;1,729;Mp;0,000216570849471;-0,482554;-1,64315;-3,275755;1,71e-06;-4,62e-06;4,14e-06;82472;;0;0
105619;105620;0;0;36208;Gl 273;Luyten's Star;Gl 273/HIP 36208/HYG 36107/Luyten's Star/MN 105620;Luyten's Star;;;CMi;7,456805;5,225785;571,27;-3694,25;18,2;3,8026;9,84;;;1,573;M5;0,0014588142602753;-1,409549;3,514856;0,346358;-6,612e-05;1,905e-05;-1,899e-05;36107;;0;0
